country,chamber,chamber_type,dimension,indicator,question_id,question_text,selected_answer,score,max_score,country_context,supporting_evidence
Thailand,House of Senate,upper,Transparency,Recordings of plenary sessions,Q16.2,How soon are recordings of plenary sessions published by Parliament?,Livestreamed or recordings available immediately after the session,1.0,1,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
Thailand,House of Senate,upper,Transparency,Transcripts of plenary sessions,Q17.1,Are verbatim official records of plenary sessions published by Parliament?,Transcripts are published for some sessions,0.5,1,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,Transcripts of plenary sessions,Q17.2,How soon are corrected verbatim official records of plenary sessions published by Parliament?,Published within 1 week,1.0,1,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,Transcripts of plenary sessions,Q17.3,In what format does Parliament publish plenary session transcripts?,Real-time API,1.0,1,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
Thailand,House of Senate,upper,Transparency,Attendance in plenary sessions,Q18.1,Are the attendees of daily plenary sessions published by Parliament?,Attendees are published for some sessions,0.5,1,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
Thailand,House of Senate,upper,Transparency,Attendance in plenary sessions,Q18.2,How soon are daily attendance lists of Members of Parliament for plenary sessions made publicly available?,Published more than 48 hours and up to 72 hours,0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,Attendance in plenary sessions,Q18.3,In what format does Parliament publish attendance lists of Members of Parliament for plenary sessions?,Real-time API,1.0,1,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,Openness of committee meetings to public,Q19.1,Are Parliament committee meetings physically open to the public?,"Yes, and no permission required",1.0,1,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,Schedule of committee meetings,Q20.1,Does Parliament publish the agendas of all committee meetings to allow meaningful preparation?,"Agendas are published, but lack sufficient detail or not applicable to all committees",0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,Schedule of committee meetings,Q20.2,How far in advance is the agenda of committee meetings published?,More than 24 hours and up to 48 hours in advance,0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
Thailand,House of Senate,upper,Transparency,Recordings of committee meetings,Q21.1,Are recordings of committee meetings published by Parliament?,Recordings are published for some committee meetings,0.5,1,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,Recordings of committee meetings,Q21.2,How soon are recordings of committee meetings published by Parliament?,Recordings published after some delay following the meeting,0.5,1,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,Transcripts of committee meetings,Q22.1,Are transcripts of committee meetings published by Parliament?,Transcripts are published for some meetings,0.5,1,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
Thailand,House of Senate,upper,Transparency,Transcripts of committee meetings,Q22.2,How soon are transcripts of committee meetings published by Parliament?,Published within 1 week,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
Thailand,House of Senate,upper,Transparency,Transcripts of committee meetings,Q22.3,In what format does Parliament publish committee meeting transcripts?,Real-time API,1.0,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,Attendance in committee meetings,Q23.1,Are attendees of committee meetings published by Parliament?,Attendees are published for most or all meetings,1.0,1,"Available in the national language only, no official translation.",No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,Attendance in committee meetings,Q23.2,How soon are attendance lists of Members of Parliament for committee meetings made publicly available?,Published more than 48 hours and up to 72 hours,0.5,1,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
Thailand,House of Senate,upper,Transparency,Attendance in committee meetings,Q23.3,In what format does Parliament publish attendance lists of Members of Parliament for committee meetings?,Non-Machine-Readable Format,0.25,1,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
Thailand,House of Senate,upper,Transparency,Publishing of bills prior to introduction in Parliament,Q24.1,Are draft bills published by Parliament before plenary deliberation?,Drafts are published for some bills,0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,Publishing of bills prior to introduction in Parliament,Q24.2,How far in advance to plenary deliberation in Parliament are draft bills published?,Published more than 24 hours and up to 48 hours before deliberation,0.5,1,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
Thailand,House of Senate,upper,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.1,Does Parliament publish the following details for bills that are under consideration? [Select all that apply],Gazetted date | First reading date,0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
Thailand,House of Senate,upper,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.2,In what format does Parliament publish the above timeline details of a bill?,Real-time API,1.0,1,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
Thailand,House of Senate,upper,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.3,Are amendments to bills made publicly available as they are discussed?,Some amendments are published,0.5,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,MP voting records in plenary sessions,Q26.1,Are voting breakdowns showing how each Member of Parliament voted for all business published by Parliament?,Published for most or all votes,1.0,1,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,MP voting records in plenary sessions,Q26.2,How soon are above voting records made publicly available by Parliament?,Published more than 48 hours and up to 72 hours,0.5,1,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,MP voting records in plenary sessions,Q26.3,In what format are above voting records published by Parliament?,Not available,0.0,1,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
Thailand,House of Senate,upper,Transparency,MP salaries and benefits,Q27.1,Does Parliament publish the following details tied to salaries and benefits received per Member of Parliament? [Select all that apply],Base salary,0.25,1,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
Thailand,House of Senate,upper,Transparency,MP salaries and benefits,Q27.2,Does Parliament publish detailed annual reports of actual spending on salaries and benefits of Members of Parliament?,"Yes, published every fiscal year",1.0,1,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
Thailand,House of Senate,upper,Transparency,Constituency development funds,Q28.1,Are utilization details of funds associated with MPs' constituencies published?,"Yes, Parliament publishes details on constituency fund utilization per Member of Parliament",1.0,1,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,Parliament spending,Q29.1,Does Parliament publish detailed information on its yearly spending? [Select all that apply],Administrative and staff salaries | Committee operations and hearings,0.4,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,Parliament spending,Q29.2,How often does Parliament publish detailed reports of its own spending?,Reports are published irregularly or only partially,0.5,1,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
Thailand,House of Senate,upper,Transparency,National budget transparency,Q30.1,Are detailed draft national budget estimates publicly available before parliamentary plenary debate?,Estimates are consistently published before debate,1.0,1,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
Thailand,House of Senate,upper,Transparency,National budget transparency,Q30.2,How long before plenary debate are the detailed draft budget estimates made public?,1 week to less than 2 weeks before,0.5,1,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
Thailand,House of Senate,upper,Transparency,National budget transparency,Q30.3,Are all amendments proposed to the national budget published at each stage of parliamentary consideration until enactment of the budget into law?,"Yes, published at some stages",0.5,1,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
Thailand,House of Senate,upper,Transparency,Freedom of information,Q31.1,Is there a framework for information disclosure in Parliament?,No framework exists or Parliament is exempt from the national framework,0.0,1,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
Thailand,House of Senate,upper,Transparency,Freedom of information,Q31.2,Is there an option to challenge a refusal of information disclosure by Parliament?,Established by procedure,0.5,1,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Accountability,Code of conduct for MPs,Q1.1,Does a formal code of conduct exist to regulate the ethics and behavior of Members of Parliament?,"Yes, codified in law or standing orders",1.0,1,"Available in the national language only, no official translation.","See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Accountability,Code of conduct for MPs,Q1.2,To what extent are the provisions of the code of conduct effectively implemented and applied in practice for Members of Parliament?,Fully operational as behaviour and sanctions are clear and can be applied when required,1.0,1,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Accountability,Conflicts of interest of MPs,Q2.1,Is disclosure of conflicts of interest of MPs ensured by law?,"Yes, guaranteed by law",1.0,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Accountability,Conflicts of interest of MPs,Q2.2,Can conflicts of interest of MPs be accessed by the public?,Completely accessible without the need for a request,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Accountability,Asset and liability disclosure of MPs,Q3.1,Is disclosure of assets and liabilities of Members of Parliament mandated by law?,"Yes, guaranteed by law",1.0,1,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Accountability,Asset and liability disclosure of MPs,Q3.2,Are asset and liability declarations of Members of Parliament publicly accessible?,Accessible only upon request and/or with limited information available,0.5,1,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Accountability,Formal channel for public queries,Q4.1,Does Parliament provide formal and systematic channels for the public to raise queries to Parliament or MPs?,"Yes, formal system exists",1.0,1,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Accountability,Formal channel for public queries,Q4.2,Does Parliament track and publicly report on the status of above public queries raised to Parliament or MPs?,"Tracking exists, but public reporting does not exist",0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Accountability,Pre-legislative scrutiny of bills,Q5.1,Is there scrutiny of bills before plenary deliberation by Parliament to assess viability?,"Not mandatory, but commonly practised",0.5,1,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Accountability,Pre-legislative scrutiny of bills,Q5.2,How consistently are bills subject to scrutiny prior to plenary deliberation by Parliament?,All bills undergo scrutiny,1.0,1,"Available in the national language only, no official translation.",No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Accountability,Post-legislative scrutiny of laws,Q6.1,Is there post-legislative scrutiny of laws by Parliament to assess effectiveness after enactment?,Mandatory,1.0,1,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Accountability,Post-legislative scrutiny of laws,Q6.2,How consistently are laws subject to post-legislative scrutiny by Parliament after enactment?,Majority of substantive laws undergo scrutiny,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Public feedback on bills prior to Parliament deliberation,Q7.1,"Is there regular public consultation for proposals or feedback on bills during the drafting stage, prior to formal introduction in Parliament?",Public consultation occurs through closed calls or only for selected draft bills,0.5,1,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Public feedback on bills prior to Parliament deliberation,Q7.2,"Is information provided on how public feedback given during the drafting of bills, prior to formal introduction in Parliament, is considered?",Information is consistently provided,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Public feedback on bills during Parliament deliberation,Q8.1,Is there regular public consultation for proposals or feedback on bills during parliamentary review or committee stages?,The public is openly invited to provide feedback on most or all bills,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Public feedback on bills during Parliament deliberation,Q8.2,Is information provided on how public feedback given during the parliamentary review or committee stages of a bill is considered?,Information is provided inconsistently or selectively,0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Public feedback on laws post-enactment,Q9.1,Is the public formally able to provide feedback on enacted laws to inform review or amendment?,Public can provide feedback through formal processes that are consistently used,1.0,1,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Public feedback on laws post-enactment,Q9.2,"Is information provided on how public feedback given post-enactment of a law, is considered?",Information is consistently provided,1.0,1,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Transparency,Availability of MP personal information,Q10.1,Is the following information about Members of Parliament publicly made available by Parliament? [Select all that apply],"Yes, a name list identifying MPs | Yes, all roles held by MPs in current Parliament",0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,Availability of MP personal information,Q10.2,"Is each of the categories selected above available for all MPs, or only some?",Available for some MPs,0.5,1,"Available in the national language only, no official translation.","See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Transparency,Availability of MP personal information,Q10.3,In what format does Parliament publish the above information about Members of Parliament?,Real-time API,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,Availability of MPs' staff personal information,Q11.1,Is the following information about staff of Members of Parliament publicly made available by Parliament? [Select all that apply],"Yes, biographical profile information of MPs' staff",0.25,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Transparency,Availability of MPs' staff personal information,Q11.2,"Is each of the categories of information selected above available for all staff of Members of Parliament, or only some?",Available for some,0.5,1,"Available in the national language only, no official translation.","See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Transparency,Availability of MPs' staff personal information,Q11.3,In what format does Parliament publish the above information on staff of Members of Parliament?,Real-time API,1.0,1,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Physical accessibility for persons with disabilities,Q12.1,Does Parliament have facilities to ensure physical accessibility for persons with disabilities within the parliamentary buildings?,"Core accessibility infrastructure is in place (e.g., ramps, lifts, accessible restrooms, designated seating)",1.0,1,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Physical accessibility for persons with disabilities,Q12.2,Is physical accessibility infrastructure for persons with disabilities available across parliamentary buildings?,Available in all or most buildings,1.0,1,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Web content accessibility for persons with disabilities,Q13.1,Does the official Parliament website adhere to the AAA standard of the Web Content Accessibility Guidelines to make its content accessible for persons with disabilities?,Accessibility standards are applied partially or inconsistently,0.5,1,Publicly available on the parliament's official website.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Citizen Participation,Web content accessibility for persons with disabilities,Q13.2,To what extent is the AAA standard of the Web Content Accessibility Guidelines applied across content on the official Parliament website?,Applied across all or most content,1.0,1,"Available in the national language only, no official translation.","See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Transparency,Openness of plenary sessions to public,Q14.1,Are plenary sessions physically open to the public?,"Yes, and no permission required",1.0,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Schedule of plenary sessions,Q15.1,Does Parliament publish detailed agendas for plenary sessions to enable meaningful preparation?,Detailed agendas are consistently published,1.0,1,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,Schedule of plenary sessions,Q15.2,How far in advance is the agenda of plenary sessions published?,More than 72 hours in advance,1.0,1,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Recordings of plenary sessions,Q16.1,Are recordings of plenary sessions published by Parliament?,Recordings are published for most or all sessions,1.0,1,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,Recordings of plenary sessions,Q16.2,How soon are recordings of plenary sessions published by Parliament?,Livestreamed or recordings available immediately after the session,1.0,1,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Transcripts of plenary sessions,Q17.1,Are verbatim official records of plenary sessions published by Parliament?,Transcripts are published for most or all sessions,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Transcripts of plenary sessions,Q17.2,How soon are corrected verbatim official records of plenary sessions published by Parliament?,Published more than 2 weeks and up to 3 weeks,0.5,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Transcripts of plenary sessions,Q17.3,In what format does Parliament publish plenary session transcripts?,Real-time API,1.0,1,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Transparency,Attendance in plenary sessions,Q18.1,Are the attendees of daily plenary sessions published by Parliament?,Attendees are published for most or all sessions,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Attendance in plenary sessions,Q18.2,How soon are daily attendance lists of Members of Parliament for plenary sessions made publicly available?,Published within 24 hours,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Attendance in plenary sessions,Q18.3,In what format does Parliament publish attendance lists of Members of Parliament for plenary sessions?,Non-Machine-Readable Format,0.25,1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Openness of committee meetings to public,Q19.1,Are Parliament committee meetings physically open to the public?,"Yes, with permission",0.5,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Schedule of committee meetings,Q20.1,Does Parliament publish the agendas of all committee meetings to allow meaningful preparation?,Detailed agendas are consistently published for all committees,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Transparency,Schedule of committee meetings,Q20.2,How far in advance is the agenda of committee meetings published?,More than 24 hours and up to 48 hours in advance,0.5,1,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,Recordings of committee meetings,Q21.1,Are recordings of committee meetings published by Parliament?,Recordings are published for most or all committee meetings,1.0,1,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Transparency,Recordings of committee meetings,Q21.2,How soon are recordings of committee meetings published by Parliament?,Livestreamed or recordings available immediately after the meeting,1.0,1,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Transcripts of committee meetings,Q22.1,Are transcripts of committee meetings published by Parliament?,Transcripts are published for some meetings,0.5,1,"Available in the national language only, no official translation.",No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Transcripts of committee meetings,Q22.2,How soon are transcripts of committee meetings published by Parliament?,Published within 1 week,1.0,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Transcripts of committee meetings,Q22.3,In what format does Parliament publish committee meeting transcripts?,Real-time API,1.0,1,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Attendance in committee meetings,Q23.1,Are attendees of committee meetings published by Parliament?,Attendees are published for most or all meetings,1.0,1,Publicly available on the parliament's official website.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Transparency,Attendance in committee meetings,Q23.2,How soon are attendance lists of Members of Parliament for committee meetings made publicly available?,Published within 24 hours,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Transparency,Attendance in committee meetings,Q23.3,In what format does Parliament publish attendance lists of Members of Parliament for committee meetings?,Non-Machine-Readable Format,0.25,1,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Transparency,Publishing of bills prior to introduction in Parliament,Q24.1,Are draft bills published by Parliament before plenary deliberation?,Drafts are published for all or most bills,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Publishing of bills prior to introduction in Parliament,Q24.2,How far in advance to plenary deliberation in Parliament are draft bills published?,Published more than 72 hours before deliberation,1.0,1,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.1,Does Parliament publish the following details for bills that are under consideration? [Select all that apply],Gazetted date | First reading date | Second reading date,0.75,1,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.2,In what format does Parliament publish the above timeline details of a bill?,Real-time API,1.0,1,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
Taiwan,Legislative Yuan,unicameral,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.3,Are amendments to bills made publicly available as they are discussed?,Some amendments are published,0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Transparency,MP voting records in plenary sessions,Q26.1,Are voting breakdowns showing how each Member of Parliament voted for all business published by Parliament?,Published for most or all votes,1.0,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,MP voting records in plenary sessions,Q26.2,How soon are above voting records made publicly available by Parliament?,Published more than 48 hours and up to 72 hours,0.5,1,"Available in the national language only, no official translation.",No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,MP voting records in plenary sessions,Q26.3,In what format are above voting records published by Parliament?,Real-time API,1.0,1,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,MP salaries and benefits,Q27.1,Does Parliament publish the following details tied to salaries and benefits received per Member of Parliament? [Select all that apply],"Base salary | All allowances given (housing, travel, constituency etc.) | Pensions or retirement benefits | All other monetary or non-monetary benefits (e.g., health insurance, perks)",1.0,1,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,MP salaries and benefits,Q27.2,Does Parliament publish detailed annual reports of actual spending on salaries and benefits of Members of Parliament?,"Yes, published every fiscal year",1.0,1,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Constituency development funds,Q28.1,Are utilization details of funds associated with MPs' constituencies published?,"Yes, details are published in the aggregate",0.5,1,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
Taiwan,Legislative Yuan,unicameral,Transparency,Parliament spending,Q29.1,Does Parliament publish detailed information on its yearly spending? [Select all that apply],Administrative and staff salaries | Committee operations and hearings | Staff employed by MPs and offices,0.6,1,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,Parliament spending,Q29.2,How often does Parliament publish detailed reports of its own spending?,Reports are published consistently every year,1.0,1,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
Taiwan,Legislative Yuan,unicameral,Transparency,National budget transparency,Q30.1,Are detailed draft national budget estimates publicly available before parliamentary plenary debate?,Estimates are consistently published before debate,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Transparency,National budget transparency,Q30.2,How long before plenary debate are the detailed draft budget estimates made public?,More than 4 weeks before,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,National budget transparency,Q30.3,Are all amendments proposed to the national budget published at each stage of parliamentary consideration until enactment of the budget into law?,"Yes, published at every stage",1.0,1,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
Taiwan,Legislative Yuan,unicameral,Transparency,Freedom of information,Q31.1,Is there a framework for information disclosure in Parliament?,Established by internal procedure,0.5,1,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
Taiwan,Legislative Yuan,unicameral,Transparency,Freedom of information,Q31.2,Is there an option to challenge a refusal of information disclosure by Parliament?,Established by procedure,0.5,1,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
Philippines,House of Representatives,lower,Accountability,Code of conduct for MPs,Q1.1,Does a formal code of conduct exist to regulate the ethics and behavior of Members of Parliament?,"Yes, codified in law or standing orders",1.0,1,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
Philippines,House of Representatives,lower,Accountability,Code of conduct for MPs,Q1.2,To what extent are the provisions of the code of conduct effectively implemented and applied in practice for Members of Parliament?,Partially operational as behaviour or sanctions are not clearly stated,0.5,1,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
Philippines,House of Representatives,lower,Accountability,Conflicts of interest of MPs,Q2.1,Is disclosure of conflicts of interest of MPs ensured by law?,"Yes, guaranteed by law",1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
Philippines,House of Representatives,lower,Accountability,Conflicts of interest of MPs,Q2.2,Can conflicts of interest of MPs be accessed by the public?,Accessible only upon request and/or with limited information available,0.5,1,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
Philippines,House of Representatives,lower,Accountability,Asset and liability disclosure of MPs,Q3.1,Is disclosure of assets and liabilities of Members of Parliament mandated by law?,"Yes, guaranteed by law",1.0,1,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
Philippines,House of Representatives,lower,Accountability,Asset and liability disclosure of MPs,Q3.2,Are asset and liability declarations of Members of Parliament publicly accessible?,Accessible only upon request and/or with limited information available,0.5,1,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
Philippines,House of Representatives,lower,Accountability,Formal channel for public queries,Q4.1,Does Parliament provide formal and systematic channels for the public to raise queries to Parliament or MPs?,"Yes, can raise queries but no formal system exists",0.5,1,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
Philippines,House of Representatives,lower,Accountability,Formal channel for public queries,Q4.2,Does Parliament track and publicly report on the status of above public queries raised to Parliament or MPs?,"Tracking exists, but public reporting does not exist",0.5,1,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
